# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       5     0.00000     0.30800     0.30800    8.908972954    8.703782364   -0.205190590
     1       5    -0.15400     0.46200     0.15400    7.947963639    7.627976510   -0.319987129
     1       5     0.30800     0.00000     0.61600   10.730354234   10.476453258   -0.253900976
     1       5    -0.30800    -0.30800     0.00000    8.908971397    8.704131817   -0.204839580
     1       5    -0.46200    -0.15400    -0.15400    7.947965532    7.626694417   -0.321271115
     1       5    -0.61600     0.00000    -0.30800   10.730353732   10.477117092   -0.253236640
     1       5    -0.15400    -0.46200     0.15400    7.947963935    7.627627878   -0.320336057
     1       5    -0.30800    -0.30800     0.30800    8.045668742    7.760223325   -0.285445417
     1       5    -0.46200    -0.15400     0.15400    7.947963321    7.627819249   -0.320144072
     1       5    -0.61600     0.00000     0.00000    7.119474400    6.723915855   -0.395558545
     1       5     0.46200     0.15400    -0.15400    7.947963318    7.627674990   -0.320288328
     1       5    -0.15400    -0.15400     0.46200    7.947964341    7.628032476   -0.319931865
     1       5    -0.30800     0.00000     0.30800    8.908970969    8.703257075   -0.205713894
     1       5    -0.46200     0.15400     0.15400    7.947965518    7.627039015   -0.320926503
     1       5     0.00000    -0.30800     0.61600   10.730353816   10.471087766   -0.259266050
     1       5     0.00000     0.00000     0.61600    7.119475072    6.723730942   -0.395744130
     1       5    -0.15400     0.15400     0.46200    7.947964529    7.627136018   -0.320828511
     1       5    -0.30800     0.30800     0.30800    8.045669838    7.759982301   -0.285687537
     1       5     0.15400    -0.15400    -0.46200    7.947964527    7.627236000   -0.320728527
     1       5     0.15400     0.15400    -0.46200    7.947964341    7.627469644   -0.320494697
     1       5    -0.61600    -0.30800     0.00000   10.730353815   10.474989670   -0.255364145
     1       5     0.46200    -0.15400    -0.15400    7.947965518    7.627568965   -0.320396553
     1       5     0.30800     0.00000    -0.30800    8.908970965    8.705847601   -0.203123364
     1       5     0.15400     0.15400    -0.15400    8.536386233    8.297379514   -0.239006719
     1       5     0.00000     0.30800    -0.30800    8.908970344    8.705025723   -0.203944621
     1       5     0.46200    -0.15400     0.15400    7.947963150    7.628286875   -0.319676275
     1       5     0.30800     0.00000     0.00000    7.560505609    7.219093490   -0.341412119
     1       5     0.30800     0.30800     0.00000    8.908971397    8.705132901   -0.203838496
     1       5     0.15400     0.46200    -0.15400    7.947963930    7.626824367   -0.321139563
     1       5     0.00000     0.61600    -0.30800   10.730353733   10.468749293   -0.261604440
     1       5     0.46200     0.15400     0.15400    7.947965528    7.627808270   -0.320157258
     1       5    -0.15400    -0.15400    -0.46200    7.947964060    7.628275031   -0.319689029
     1       5     0.30800     0.61600     0.00000   10.730354236   10.468853825   -0.261500411
     1       5     0.15400    -0.46200    -0.15400    7.947963643    7.626619584   -0.321344059
     1       5     0.00000    -0.30800    -0.30800    8.908972956    8.705373460   -0.203599496
     1       5     0.00000     0.00000    -0.30800    7.560505635    7.218785484   -0.341720151
     1       5    -0.15400     0.15400    -0.46200    7.947964648    7.627639294   -0.320325354
     1       5     0.30800    -0.30800     0.00000    8.908971905    8.705349933   -0.203621972
     1       5     0.15400    -0.15400    -0.15400    8.536387571    8.297548197   -0.238839374
     1       6     0.00000     0.00000     0.00000    9.026315026    8.897882046   -0.128432980
     1       6    -0.15400     0.15400    -0.15400    9.976911924    9.884887232   -0.092024692
     1       6    -0.30800     0.30800    -0.30800    9.785110925    9.693974158   -0.091136767
     1       6     0.15400    -0.15400     0.15400    9.976911925    9.884040839   -0.092871086
     1       6     0.15400     0.15400     0.15400    9.976912692    9.886835359   -0.090077333
     1       6     0.00000     0.30800     0.00000    9.576364596    9.381863116   -0.194501480
     1       6    -0.15400     0.46200    -0.15400   10.918809303   10.738280083   -0.180529220
     1       6     0.30800     0.00000     0.30800   11.284742078   11.324545190    0.039803112
     1       6     0.30800     0.30800     0.30800    9.785111875    9.694584206   -0.090527669
     1       6     0.15400     0.46200     0.15400   10.918809312   10.737313425   -0.181495887
     1       6     0.00000     0.61600     0.00000    7.119476126    6.723869036   -0.395607090
     1       6    -0.15400    -0.46200    -0.15400   10.918809312   10.738137049   -0.180672263
     1       6    -0.15400    -0.15400    -0.15400    9.976912690    9.883123396   -0.093789294
     1       6    -0.30800     0.00000    -0.30800   11.284742078   11.325055699    0.040313621
